
2024/11/28 (11:08:21) | ===> btop++ v.1.4.0
2024/11/28 (11:08:21) | INFO: Logger set to DEBUG
2024/11/28 (11:08:21) | DEBUG: Using locale en_US.UTF-8
2024/11/28 (11:08:21) | INFO: Running on /dev/pts/0
2024/11/28 (11:08:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/11/28 (11:08:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/11/28 (11:08:21) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/28 (11:08:21) | DEBUG: Shared::init() : Initialized.
2024/11/28 (11:08:25) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_mocha.theme
2024/11/28 (11:08:27) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_latte.theme
2024/11/28 (11:08:28) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_mocha.theme
2024/11/28 (11:08:28) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_latte.theme
2024/11/28 (11:08:29) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_frappe.theme
2024/11/28 (11:08:29) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_macchiato.theme
2024/11/28 (11:08:29) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_frappe.theme
2024/11/28 (11:08:30) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_latte.theme
2024/11/28 (11:08:30) | DEBUG: Loading theme file: /home/rjuhasz/.config/btop/themes/catppuccin_mocha.theme
2024/11/28 (11:08:45) | DEBUG: Writing new config file
2024/11/28 (11:08:45) | INFO: Quitting! Runtime: 00:00:24
